rank,word,text,year
65,regions,"Significant increases over the past three years were recorded in all regions of Asia and in Oceania.Prison overcrowding remains a serious problem in many countries, often leading to inhumane conditions, the violation of human rights, violence among prisoners and reduced prospects for rehabilitation.",2020
65,reported,"Throughout 2020, the United Nations has consistently called for a global ceasefire to protect civilians from the deadly combination of armed conflict and COVID-19.Since 2015, the killings of human rights defenders, journalists and trade unionists have been reported in over one third of Member States.",2021
65,share,"Recent designations of MPAs will raise this share, edging closer to the 10 per cent called for in the SDG and Aichi Biodiversity target.",2022
66,US,"In 2015, official development assistance (ODA) from member countries of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) totalled 131.6 billion US dollars. ",2016
66,other,"As of 7 June 2017, seven countries had completed and submitted the first iteration of their NAP; the process in many other countries is under way.",2017
66,developed,Only 27 per cent of the population in least developed countries had basic handwashing facilities.,2018
66,high,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019
66,target,"Across all regions, people defending the human rights and fundamental freedoms of others are the targets of violent attacks.",2020
66,social,Urgently expanding income support and social protection coverage could help offset this rise.,2021
66,among,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022
67,dollars,"This includes social protection benefits for the poor and most vulnerable and ensuring that people harmed by conflict and natural hazards receive adequate support, including access to basic services.The international poverty line is currently defined as 1.90 US dollars per person per day using 2011 purchasing power parity (PPP).",2016
67,us,"Progress in promoting peace and justice, and in building effective, accountable and inclusive institutions remains uneven across and within regions.",2017
67,living,"Globally, people living in fragile states are twice as likely to lack basic sanitation and about four times as likely to lack basic drinking water services as populations in non-fragile situations, with significant differences observed across all regions.",2018
67,also,"Central and Southern Asia and South-Eastern Asia also lag behind at 68 per cent and 82 per cent, respectively.",2019
67,developing,"Meanwhile, the emissions of developing countries are up by 43.2 per cent from 2000 to 2013.",2020
67,some,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
67,globally,"That said, systematic implementation of tracing remains a challenge globally.",2022
68,deaths,"Between 1990 and 2015, the global maternal mortality ratio declined by 44 per cent to an estimated 216 deaths per 100,000 live births, falling short of the MDGs and far from the target of 70 maternal deaths per 100,000 live births established in the 2030 Agenda.",2016
68,dollars,"Social protection systems need to be expanded and risks mitigated for disaster-prone countries, which tend to be among the world’s poorest countries.The international poverty line is currently defined as 1.90 US dollars per person per day using 2011 purchasing power parity (PPP).",2017
68,across,"Globally, people living in fragile states are twice as likely to lack basic sanitation and about four times as likely to lack basic drinking water services as populations in non-fragile situations, with significant differences observed across all regions.",2018
68,2030,"If growth continues at the same rate, by 2030 only around half of all countries will have compliant NHRIs to ensure that States deliver on their human rights obligations.",2019
68,income,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020
68,efforts,"The reduction in civilian deaths at the global level is attributable to some of the deadliest conflicts becoming less lethal, along with collective efforts to enhance the protection of civilians.",2021
68,level,"This indicates the importance of cooperative practices at the international level, though they are not yet sufficient.",2022
69,education,Goal 4 aims to ensure that all people have access to quality education and lifelong learning opportunities.,2016
69,not,"In response, legal frameworks and institutions are being put in place— for example, on access to information and human rights promotion—but implementation does not always follow suit.",2017
69,declined,"Between 2000 and 2015, the proportion of the global population practising open defecation declined from 20 per cent to 12 per cent.",2018
69,food,They make up the planet’s largest ecosystem— covering more than two thirds of the Earth’s surface— and provide billions of people with food and livelihoods.,2019
69,still,"The measure is being met with support, but implementation challenges still exist.",2020
69,areas,They have played a critical role during the pandemic by examining and monitoring impacts on health and other areas and by highlighting the human rights implications of the crisis.,2021
69,regions,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022
70,half,"Today, more than half the world has internationally recognized human rights institutions.",2016
70,some,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017
70,economic,"Implementation of integrated water resources management (IWRM) supports the use of water in a way that balances the social, economic and environmental dimensions of sustainable development.",2018
70,income,"The nowcast shows the 2018 rate of extreme poverty at 8.6 per cent, and baseline projections suggest that 6 per cent of the world’s population will still be living in extreme poverty in 2030, if current trends continue.Extreme poverty remains stubbornly high in low-income countries and countries affected by conflict and political upheaval, particularly in sub-Saharan Africa.",2019
70,years,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020
70,years,"It was one of the three warmest years on record, with the global average temperature about 1.2°C above the 1850–1900 baseline.",2021
70,10,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022
71,girls,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016
71,10,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017
71,share,An additional 29 per cent of the global population used a basic sanitation service—an improved facility that is not shared.,2018
71,up,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019
71,among,"Significant increases over the past three years were recorded in all regions of Asia and in Oceania.Prison overcrowding remains a serious problem in many countries, often leading to inhumane conditions, the violation of human rights, violence among prisoners and reduced prospects for rehabilitation.",2020
71,poverty,"Oceans contribute to poverty eradication, sustained economic growth and food security.",2021
71,out,"For example, the outbreak of war in Ukraine has caused food, fuel and fertilizer prices to skyrocket, disrupted supply chains and global trade and roiled financial markets, potentially leading to a global food crisis.",2022
72,highest,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
72,total,"More than a quarter of all trafficking victims detected in 2014 were children, with girls outnumbering boys (20 per cent of total victims versus 8 per cent).",2017
72,period,"To reach the SDG target, global energy intensity needs to improve at an annual rate of 2.7 per cent over the period 2016–2030, requiring sustained momentum and the systematic adoption of energy efficiency policies in countries that are falling behind.",2018
72,level,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019
72,including,"While the 2019 toll constitutes the lowest number of killings of journalists per year in over a decade, journalists are increasingly experiencing verbal and physical attacks, including online, in connection with their work.",2020
72,species,A recent example from the South Atlantic used satellite tracking data for 14 species of seabirds and seals to pinpoint breeding grounds and feeding sites crucial to the preservation of these and other species.,2021
72,those,"Similarly, only 28.9 per cent of people considered vulnerable – all children, along with older people and those of working age not covered by social insurance – had access to social assistance cash benefits in 2020, with coverage varying widely across regions.",2022
73,three,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
73,2010,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017
73,air,"In 2016, some 2.8 billion people still used solid fuels with inefficient stoves, leading to high levels of household air pollution.",2018
73,social,"Birth registration is fundamental to helping people access their individual rights, such as basic social services and legal justice.",2019
73,compared,"In 2020, close to 75 per cent scored high in their degree of implementation of relevant international instruments, compared with 70 per cent in 2018.",2020
73,men,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
73,total,"Climate finance provided and mobilized by developed countries totalled $79.6 billion in 2019, up from $78.3 billion in 2018.",2022
74,also,"Goal 13 calls for urgent action not only to combat climate change and its impacts, but also to build resilience in responding to climate-related hazards and natural disasters.",2016
74,climate,Concerted action is urgently needed to stem climate change and strengthen resilience to pervasive and ever-increasing climate-related hazards.,2017
74,material,"The ""material footprint"" of an economy refers to the total amount of raw materials extracted globally—across the entire supply chain—to meet that economy's final consumption demand.",2018
74,worldwide,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019
74,level,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020
74,worldwide,"The pandemic is disproportionately affecting the most vulnerable worldwide, with children at high risk.",2021
74,even,"Amid these crises, and despite movement restrictions prompted by COVID-19, forced displacement has continued and even grown.",2022
75,will,Progress on the Paris Agreement will be tracked every five years through a global stocktaking exercise.,2016
75,economic,"The NDCs show that governments are integrating climate action into socio-economic development strategies, since both are integral to sustainable development.",2017
75,not,An additional 1.3 billion people (17 per cent of the population) used a basic drinking water service—an improved water source not more than 30 minutes away.,2018
75,developed,Many local governments had developed local strategies in line with national strategies.,2019
75,where,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020
75,human,"Recovery from the crisis and sustainable development must be built on a foundation of peace, stability, respect for human rights, effective governance and the rule of law.",2021
75,least,"Ending armed conflicts, strengthening institutions and enacting inclusive and equitable legislation that protects the human rights of all persons are necessary preconditions for sustainable development.The United Nations recorded at least 13,842 deaths associated with 12 of the world's deadliest armed conflicts in 2021.",2022
76,many,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
76,marine,"Oceans also provide priceless environmental services: they generate half the oxygen we breathe, support a wealth of marine resources and act as a climate regulator.",2017
76,2030,"However, faster progress will be needed to end the practice by 2030.",2018
76,out,"In 2016, adult women comprised nearly half of the detected victims globally, and girls accounted for about 23 per cent.",2019
76,worldwide,"This translates to approximately 440,000 homicide victims worldwide (81 per cent male and 19 per cent female) each year.",2020
76,10,This translates to almost 1 in 10 children worldwide.,2021
76,between,"In Latin America and the Caribbean, the homicide rate declined by 6.9 per cent for males but increased by 2.7 per cent for females between 2015 and 2020.",2022
77,Southern,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
77,girls,"Globally, more women and girls than men and boys were identified as victims of trafficking in 2014.",2017
77,covered,"In 2017, based on data from 62 out of 153 countries sharing transboundary waters, the average percentage of national transboundary basin area covered by an operational arrangement was 59 per cent.",2018
77,deaths,More than 90 per cent of internationally reported deaths due to disaster occur in low- and middle-income countries.,2019
77,some,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020
77,public,"Corruption is antithetical to sustainable development, aggravating income inequality, reducing domestic and foreign investment, and significantly lowering the quality of public sector services.",2021
77,into,"This translates into melting ice caps and glaciers, intense heat and rainfall as well as sea-level rise and other potentially cataclysmic events, with adverse social and economic consequences.",2022
78,where,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
78,Southern,"In contrast, the highest proportion of unsentenced detainees remains in Central and Southern Asia, where over 60 per cent of the total prison population are being detained without a trial.",2017
78,America,High levels of cooperation exist across Europe and Northern America and for many major river and lake basins in sub-Saharan Africa.,2018
78,GDP,"Economic losses resulting from disasters are also much higher in poorer countries, when measured as a percentage of their gross domestic product (GDP).",2019
78,out,"If 2015–2018 trends continue, the rate per 100,000 population would stand at around 5.2 in 2030, an overall decrease of about 12 per cent.",2020
78,new,"Progress has stalled in most regions, where no new independent NHRIs have been recognized or established since 2018.",2021
78,likely,"According to data from the Organisation for Economic Co-operation and Development (OECD), developed countries have likely fallen short of that promise.",2022
79,LDCs,"In the LDCs, one in two children have not been registered by their fifth birthdays.",2016
79,15,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017
79,around,"Europe and Northern America have almost 4 per cent of their total land covered by freshwater bodies, while coverage in least developed countries and small island developing States is only around 1 per cent.",2018
79,world,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019
79,public,The right to information held by public authorities is an integral aspect of freedom of expression and serves as a mechanism to support government openness and accountability as well as enhanced empowerment and equality among all social groups.,2020
79,climate,"An aerial view of disappearing ice at the summit of Mount Kilimanjaro in the United Republic of Tanzania.Despite a pandemic-related economic slowdown, the climate crisis continues largely unabated.",2021
79,biodiversity,"Even before the full fury of climate change has been unleashed, biodiversity loss is accelerating.",2022
80,living,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016
80,among,"Much of the increase over the last few years was due to these large additional sites, particularly off the coasts of Australia, Chile, New Zealand, Palau and the United States, among others.",2017
80,support,"Implementation of integrated water resources management (IWRM) supports the use of water in a way that balances the social, economic and environmental dimensions of sustainable development.",2018
80,energy,"That will require rapid and far-reaching transitions in energy, land and urban infrastructure and industrial systems.",2019
80,world’s,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
80,among,"While progress has been made, implementation varies among the instruments, highlighting the need for renewed effort and increased support.To date, 168 Parties (including the European Union) have ratified or acceded to UNCLOS.",2021
80,recovery,"Girls whose mothers have a primary education are 40 per cent less likely to be cut than those whose mothers have no education.During the pandemic, women leaders have acted decisively and effectively to implement and manage response and recovery efforts, prioritizing measures that address the most vulnerable groups.",2022
81,urban,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016
81,proportion,"And while the share of victims trafficked for sexual exploitation has also fallen, the proportion of those trafficked for forced labour has increased.",2017
81,electricity,Access to electricity is outpacing population growth in many countries.,2018
81,LDCs,"Access to finance and the strengthening of resilience and adaptive capacity need to be scaled up at a much faster pace, particularly among LDCs and small island developing States.In 2017, atmospheric CO2 concentrations reached 405.5 parts per million (ppm) (up from 400.1 ppm in 2015), representing 146 per cent of pre‑industrial levels.",2019
81,10,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
81,basic,"Moreover, to design effective pandemic policy interventions, Governments will need to improve and strengthen basic demographic and epidemiological data collection.As of June 2021, total reported deaths from COVID-19 reached 3.7 million globally.",2021
81,estimated,"An estimated 41 per cent of people forcibly displaced worldwide were children, according to 2021 data.",2022
82,risk,"With the rise in natural disasters, countries have begun implementing national and local disaster risk reduction strategies.",2016
82,almost,"Globally, the proportion of people held in detention without being tried or sentenced for a crime has remained almost unchanged—from 32 per cent of total prisoners in 2003-2005 to 31 per cent in 2013-2015.",2017
82,half,"In 2015, electricity accounted for half of the increase (mostly from wind and solar energy); the other half was mostly bioenergy for heat and transport.",2018
82,policy,The biggest challenges are investment in disaster risk reduction for resilience and promoting policy coherence between the SDGs and climate change.,2019
82,climate,The climate crisis continues unabated as the global community shies away from the full commitment required for its reversal.,2020
82,number,"At the start of 2020, the number of children engaged in child labour (not including its worst forms, such as children in bonded and forced labour or in commercial sexual exploitation) totalled 160 million (63 million girls and 97 million boys).",2021
82,crisis,"For example, the outbreak of war in Ukraine has caused food, fuel and fertilizer prices to skyrocket, disrupted supply chains and global trade and roiled financial markets, potentially leading to a global food crisis.",2022
83,resources,"Oceans, seas and other marine resources are essential to human well-being and social and economic development worldwide.",2016
83,least,"According to data from 2005 to 2016, over
      18 per cent of firms worldwide reported receiving at least one bribery
      payment request.",2017
83,needed,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
83,low,"To limit global warming to 1.5°C means that emissions will need to peak as soon as possible, followed by rapid reductions.",2019
83,LDCs,"Eighteen countries, including five LDCs and four small island developing States, have completed and submitted their NAPs to the United Nations Framework Convention on Climate Change Secretariat, while many others are at various stages in the process.Funding for the formulation of NAPs is provided by the Green Climate Fund, through its Readiness and Preparatory Support Programme, and by the Least Developed Countries Fund.",2020
83,electricity,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021
83,2030,"By 2030, it is projected that the global homicide rate will decrease by 19 per cent from the 2015 level, to around 4.8 per 100,000 people.",2022
84,can,"However, significant challenges remain, including lack of data on various forms of violence against children and other vulnerable groups, access to justice and public access to information.",2016
84,change,"Globally, the proportion of people held in detention without being tried or sentenced for a crime has remained almost unchanged—from 32 per cent of total prisoners in 2003-2005 to 31 per cent in 2013-2015.",2017
84,still,This means that 844 million people still lacked even a basic level of service.,2018
84,gender,"Recent successes in reducing the number of children out of school and reducing the gender gap in the out-of-school rate need to be replicated worldwide to ensure all children, everywhere, are attending school.",2019
84,across,The COVID-19 pandemic threatens to amplify and exploit fragilities across the globe.,2020
84,LDCs,"One in three LDCs now have an internationally compliant NHRI, compared with one in five in 2015.",2021
84,almost,"Globally, almost 1 in 6 businesses face requests for bribe payments by public officials, most commonly in transactions involving electrical and water connections, construction-related permits, import licenses, operating licenses, and meetings with tax officials.",2022
85,capita,"Since the late 1990s, aid to agriculture in developing countries has languished at around 8 per cent of the total, down from a high of 20 per cent in the mid-1980s, when donors began focusing more on improving governance, building social capital and bolstering fragile States.",2016
85,poverty,"Disaster mortality reflects not only exposure to hazards, but also a confluence of other vulnerability factors, such as poor urban management, environmental degradation, lack of disaster preparedness, and poverty and inequality.",2017
85,high,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018
85,use,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019
85,average,"This translates to an average of 11.9 civilian deaths per 100,000 population each year; one in eight of those deaths was a woman or child.",2020
85,protection,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
85,school,"The pandemic has added to the mental health issues facing children and young people, since many of them are still experiencing school closures, disruption of daily routines, stress over food insecurity and loss of family income, and uncertainty about the future.",2022
86,billion,"However, 2 billion adults worldwide still lack an account at a financial institution.",2016
86,Zealand,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017
86,need,"The challenges of meeting future water needs in a sustainable manner are daunting, but they can be overcome.",2018
86,efforts,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019
86,total,"More than 20,000 civilians were killed or injured in 10 conflicts in 2019, which is only a fraction of the actual total.",2020
86,labour,"Millions of children around the globe face different forms of exploitation, including trafficking and child labour.",2021
86,Ukraine,This staggering number will increase along with the widening repercussions of the war in Ukraine.,2022
87,2030,"
  Central to the 2030 Agenda for Sustainable Development is the need to promote peaceful and inclusive societies based on respect for human rights, the rule of law and transparent, effective and accountable institutions.",2016
87,5,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017
87,while,"Europe and Northern America have almost 4 per cent of their total land covered by freshwater bodies, while coverage in least developed countries and small island developing States is only around 1 per cent.",2018
87,compared,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019
87,systems,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020
87,also,"In countries with a larger share of trafficking victims that are children, there is also a higher prevalence of child labour.",2021
87,education,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022
88,violence,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
88,estimated,"By 2050, however, it is estimated that coastal eutrophication will increase in 21 per cent of these large ecosystems.",2017
88,fuels,"Despite some steps forward, 41 per cent of the world’s population still lack access to clean cooking fuels and technologies.",2018
88,national,"Unless Member States live up to their international obligation to protect those who stand up for the fundamental rights and freedoms of others, human rights defenders, journalists and trade unionists will continue to be targets of assassination in countries around the world.",2019
88,needed,"To significantly reduce all forms of violence, stronger efforts are needed to cut the global homicide rate.",2020
88,those,"In 2020, 5 civilians per 100,000 people were killed in armed conflicts, and 1 in 7 of those were women or children.",2021
88,target,"This falls short of the ""significant reduction"" by 2030 targeted in the Sustainable Development Goals.",2022
89,international,"Efforts are under way to make national and international institutions more effective, inclusive and transparent.",2016
89,education,Quality education and lifelong learning opportunities for all are central to ensuring a full and productive life to all individuals and to the realization of sustainable development.,2017
89,consumption,"The share of renewables in final energy consumption increased modestly, from 17.3 per cent in 2014 to 17.5 per cent in 2015.",2018
89,Northern,"The differences among regions are stark: 92 per cent of children are covered by social protection systems in Europe and Northern America, 56 per cent in Latin America and the Caribbean, but only 13 per cent in sub-Saharan Africa, and 14 per cent in Eastern and South-Eastern Asia.",2019
89,around,"If 2015–2018 trends continue, the rate per 100,000 population would stand at around 5.2 in 2030, an overall decrease of about 12 per cent.",2020
89,2030,"These gains, however, are not enough to meet the 2030 target.",2021
89,years,"In 2021, the global mean temperature was about 1.11 ± 0.13 °C above the pre-industrial level (from 1850 to 1900), making it one of the seven warmest years on record (2015 to 2021).While variations in global temperatures from year on year are to be expected, the long-term trend is a warming climate.",2022
90,estimated,"Worldwide, the number of victims of intentional homicide per 100,000 people was estimated at between 4.6 and 6.8 in 2014.",2016
90,Australia,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017
90,due,"Substantial gains in access rates were achieved in rural areas, in part due to slower population growth, but also aided by an upswing in off-grid solar electricity.",2018
90,including,"All are particularly vulnerable to various forms of abuse, including trafficking, violence and non-inclusive decision-making.",2019
90,measures,"Trends suggest that lockdown measures have hardly affected violence in Latin American countries with high levels of homicides, but the intense lockdown measures in European countries with low levels of homicide seem to have drastically reduced violence.",2020
90,through,"Two thirds of financial support provided in 2017–2018 (equivalent to an annual average of $32.3 billion) flowed through bilateral, regional and other channels, while the remaining third was channelled through multilateral institutions and funds, such as the Green Climate Fund (GCF).",2021
90,social,"This translates into melting ice caps and glaciers, intense heat and rainfall as well as sea-level rise and other potentially cataclysmic events, with adverse social and economic consequences.",2022
91,rates,"And in most regions, birth registration rates tend to be highest among the richest 20 per cent of the population.",2016
91,out,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017
91,footprint,"The ""material footprint"" of an economy refers to the total amount of raw materials extracted globally—across the entire supply chain—to meet that economy's final consumption demand.",2018
91,around,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019
91,reported,"However, the number of convictions has recently started to increase in response to improvements in detection.Sexual violence, one of the most disturbing violations of children’s rights, is widely underreported.",2020
91,growth,"Oceans contribute to poverty eradication, sustained economic growth and food security.",2021
91,Sub-Saharan,"Sub-Saharan Africa remains the region with the highest under-5 mortality rate in the world at 74 deaths per 1,000 live births in 2020.",2022
92,change,"In Latin America and the Caribbean, the region with the second highest percentage, the share of persons held in detention without being sentenced remained practically unchanged over the last decade, at 43 per cent.",2016
92,social,Birth registration is a first step towards safeguarding individual rights and providing every person with access to justice and social services.,2017
92,2013,"From 1999 to 2013, approximately one fifth of the Earth’s land surface covered by vegetation showed persistent and declining trends in productivity, primarily due to land and water use and management.",2018
92,girls,"In 2016, adult women comprised nearly half of the detected victims globally, and girls accounted for about 23 per cent.",2019
92,up,"The measure is being met with support, but implementation challenges still exist.",2020
92,Northern,"At the regional level, Northern Africa and Western Asia reflects this leap, while Central and Southern Asia reduced its regional score from 3/5 to 2/5, highlighting the need for redoubled efforts.",2021
92,labour,"Human rights violations in conflict-affected countries, including human trafficking and forced labour, have increased and international humanitarian law has been disregarded, undermining the global compact of humanity.",2022
93,since,"Some stressed that adaptation was their main priority, since they see the potential impacts of climate change as strongly linked to national development, sustainability and security.",2016
93,used,This indicates that no significant progress has been made in the ability of judicial systems to process and try the accused in an efficient manner.,2017
93,compared,"The decline is mainly attributed to lower spending on refugees inside donor countries: in 2017, DAC countries reportedly spent $14.2 billion, or 9.7 per cent of total ODA, to host refugees in their countries; this represents a drop of 13.6 per cent in real terms compared to 2016.",2018
93,policies,"Binding laws and policies giving individuals the right to access information held by public authorities have been adopted by 125 countries, with at least 31 countries adopting such laws since 2013.",2019
93,need,"To significantly reduce all forms of violence, stronger efforts are needed to cut the global homicide rate.",2020
93,urban,"Disparities by location and wealth are even more stark: only a third of countries reached parity in primary school completion between rural and urban students, and just one sixth of countries reached parity between students in the poorest and richest households.",2021
93,before,"To limit warming to 1.5° Celsius above pre-industrial levels, as set out in the Paris Agreement, global greenhouse gas emissions will need to peak before 2025.",2022
94,efforts,Central to the agreement is the need to strengthen the global response to keep global temperatures from rising no more than 2 degrees Celsius above pre-industrial levels and to pursue further efforts to limit the rise to 1.5 degrees Celsius.,2016
94,will,"By 2050, however, it is estimated that coastal eutrophication will increase in 21 per cent of these large ecosystems.",2017
94,drinking,Safe drinking water and sanitation are basic human rights.,2018
94,public,"Binding laws and policies giving individuals the right to access information held by public authorities have been adopted by 125 countries, with at least 31 countries adopting such laws since 2013.",2019
94,decline,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020
94,two,A woman and her two young children flee their home to escape fighting.,2021
94,decline,"Between 2015 and 2020, the global homicide rate declined by 5.2 per cent - from 5.9 to 5.6 homicides per 100,000 people.",2022
95,sexual,"Various forms of violence against children persist, including human trafficking and sexual violence.",2016
95,GDP,Government spending on agriculture has not been proportional to the sector’s share of gross domestic product (GDP) either.,2017
95,biodiversity,"Water-related ecosystems are essential to life and have always provided natural sites for human settlements, bringing benefits such as transportation, natural purification, irrigation, flood protection and habitats for biodiversity.",2018
95,made,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019
95,Northern,"Half of unemployed people in Australia and New Zealand receive unemployment payments, and 44 per cent in Europe and Northern America.",2020
95,still,"The world is still a long way from achieving the goal of peaceful, just and inclusive societies.",2021
95,including,"Human rights violations in conflict-affected countries, including human trafficking and forced labour, have increased and international humanitarian law has been disregarded, undermining the global compact of humanity.",2022
96,who,"Girls who are victims of human trafficking are often subjected to sexual exploitation, forced marriage and/or domestic servitude.",2016
96,flows,"More than 570 different trafficking flows, which criss-cross the globe, were identified by law enforcement officers between 2012 and 2014.",2017
96,can,"The challenges of meeting future water needs in a sustainable manner are daunting, but they can be overcome.",2018
96,risk,Young men 15 to 29 years old faced the highest homicide risk overall with some regional variations.,2019
96,those,"In March 2020, the Secretary-General launched an appeal for an immediate global ceasefire to aid in the delivery of humanitarian assistance and open channels for diplomacy, in particular for those most vulnerable to COVID-19.",2020
96,child,A woman and her two young children flee their home to escape fighting.,2021
96,support,"Over the last decade, the world has spent $349 billion on peacekeeping, humanitarian relief and refugee support.",2022
97,years,Survey data from 31 low- and middle-income countries suggest that the proportion of women aged 18 to 29 years who experienced sexual violence for the first time before age 18 may be as high as 16 per cent.,2016
97,declined,"However, the share of women and girls slowly declined, from 84 per cent in 2004 to 71 per cent in 2014.",2017
97,implementation,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
97,under,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019
97,could,The terrible suffering of civilians could be significantly reduced if parties to conflict respected international humanitarian and human rights laws.,2020
97,target,"Perpetrators engaged in this criminal activity target the marginalized and impoverished, including children.",2021
